Comp,Att,Pct,Yds,Avg,Lng,TD,Int,Sck,Rate
318,489,65.0,4904,10.0,86,37,9,24,170.6
285,404,70.5,4627,11.5,84,43,6,26,198.9
299,474,63.1,4257,9.0,89,38,9,21,161.2
368,560,65.7,4177,7.5,93,26,8,44,140.8
303,480,63.1,4143,8.6,56,26,13,29,148.1
324,511,63.4,4052,7.9,77,31,15,39,144.2
265,395,67.1,4037,10.2,80,37,9,11,179.3
348,566,61.5,4016,7.1,81,27,18,29,130.5
305,487,62.6,3967,8.1,73,37,16,31,149.6
242,419,57.8,3964,9.5,79,44,13,11,165.7
328,493,66.5,3963,8.0,77,33,10,27,152.1
264,411,64.2,3882,9.4,89,28,8,22,162.2
284,459,61.9,3799,8.3,76,29,10,13,147.9
283,452,62.6,3756,8.3,65,26,10,26,147.0
254,430,59.1,3660,8.5,78,27,10,29,146.6
357,534,66.9,3593,6.7,61,30,13,39,137.0
284,427,66.5,3570,8.4,85,28,10,27,153.7
276,472,58.5,3569,7.6,86,33,12,21,140.0
312,479,65.1,3518,7.3,79,17,6,12,136.0
250,388,64.4,3490,9.0,76,34,12,14,162.7
283,443,63.9,3290,7.4,59,17,7,15,135.8
260,410,63.4,3270,8.0,70,20,8,40,142.6
249,446,55.8,3237,7.3,77,27,17,23,129.2
298,509,58.5,3207,6.3,81,25,9,31,124.1
239,374,63.9,3192,8.5,52,29,6,15,158.0
246,370,66.5,3158,8.5,75,18,6,35,151.0
269,400,67.3,3152,7.9,93,23,8,17,148.4
259,403,64.3,3146,7.8,71,14,7,21,137.8
246,428,57.5,3143,7.3,80,23,16,17,129.4
224,415,54.0,3120,7.5,78,26,14,27,131.1
266,443,60.0,3115,7.0,76,25,14,11,131.4
240,371,64.7,3053,8.2,84,35,9,19,160.1
272,461,59.0,3039,6.6,75,18,12,34,122.1
236,396,59.6,2991,7.6,70,20,9,22,135.2
228,377,60.5,2975,7.9,79,18,9,35,137.7
229,409,56.0,2974,7.3,87,16,5,25,127.5
223,353,63.2,2924,8.3,69,22,4,38,151.1
188,354,53.1,2911,8.2,95,25,6,17,142.1
245,409,59.9,2890,7.1,74,19,15,16,127.3
218,348,62.6,2877,8.3,87,16,6,20,143.8
318,489,65.0,4904,10.0,86,37,9,24,170.6
285,404,70.5,4627,11.5,84,43,6,26,198.9
299,474,63.1,4257,9.0,89,38,9,21,161.2
368,560,65.7,4177,7.5,93,26,8,44,140.8
303,480,63.1,4143,8.6,56,26,13,29,148.1
324,511,63.4,4052,7.9,77,31,15,39,144.2
265,395,67.1,4037,10.2,80,37,9,11,179.3
348,566,61.5,4016,7.1,81,27,18,29,130.5
305,487,62.6,3967,8.1,73,37,16,31,149.6
242,419,57.8,3964,9.5,79,44,13,11,165.7
328,493,66.5,3963,8.0,77,33,10,27,152.1
264,411,64.2,3882,9.4,89,28,8,22,162.2
284,459,61.9,3799,8.3,76,29,10,13,147.9
283,452,62.6,3756,8.3,65,26,10,26,147.0
254,430,59.1,3660,8.5,78,27,10,29,146.6
357,534,66.9,3593,6.7,61,30,13,39,137.0
284,427,66.5,3570,8.4,85,28,10,27,153.7
276,472,58.5,3569,7.6,86,33,12,21,140.0
312,479,65.1,3518,7.3,79,17,6,12,136.0
250,388,64.4,3490,9.0,76,34,12,14,162.7
283,443,63.9,3290,7.4,59,17,7,15,135.8
260,410,63.4,3270,8.0,70,20,8,40,142.6
249,446,55.8,3237,7.3,77,27,17,23,129.2
298,509,58.5,3207,6.3,81,25,9,31,124.1
239,374,63.9,3192,8.5,52,29,6,15,158.0
246,370,66.5,3158,8.5,75,18,6,35,151.0
269,400,67.3,3152,7.9,93,23,8,17,148.4
259,403,64.3,3146,7.8,71,14,7,21,137.8
246,428,57.5,3143,7.3,80,23,16,17,129.4
224,415,54.0,3120,7.5,78,26,14,27,131.1
266,443,60.0,3115,7.0,76,25,14,11,131.4
240,371,64.7,3053,8.2,84,35,9,19,160.1
272,461,59.0,3039,6.6,75,18,12,34,122.1
236,396,59.6,2991,7.6,70,20,9,22,135.2
228,377,60.5,2975,7.9,79,18,9,35,137.7
229,409,56.0,2974,7.3,87,16,5,25,127.5
223,353,63.2,2924,8.3,69,22,4,38,151.1
188,354,53.1,2911,8.2,95,25,6,17,142.1
245,409,59.9,2890,7.1,74,19,15,16,127.3
218,348,62.6,2877,8.3,87,16,6,20,143.8
388,591,65.7,5052,8.5,81,41,10,27,157.0
329,496,66.3,4617,9.3,83,41,8,23,168.6
388,579,67.0,4593,7.9,65,41,17,17,151.1
443,633,70.0,4468,7.1,66,38,11,29,145.6
280,416,67.3,4363,10.5,87,37,7,18,181.4
382,620,61.6,4295,6.9,74,37,12,16,135.6
289,418,69.1,4129,9.9,98,45,9,14,183.3
284,448,63.4,4091,9.1,91,28,4,31,158.9
254,358,71.0,3965,11.1,88,40,8,18,196.4
304,446,68.2,3748,8.4,75,30,6,20,158.3
280,443,63.2,3698,8.3,84,32,10,33,152.7
244,394,61.9,3646,9.3,76,24,8,19,155.7
224,387,57.9,3614,9.3,80,29,8,23,156.9
319,469,68.0,3557,7.6,55,22,13,33,141.7
268,422,63.5,3552,8.4,62,29,8,32,153.1
230,409,56.2,3543,8.7,74,30,9,46,148.8
278,465,59.8,3540,7.6,85,23,16,37,133.2
263,377,69.8,3533,9.4,70,33,4,16,175.2
261,421,62.0,3532,8.4,77,27,7,25,150.3
245,401,61.1,3430,8.6,73,25,15,34,146.0
243,391,62.1,3430,8.8,75,43,9,25,167.5
237,434,54.6,3399,7.8,87,23,10,13,133.3
253,438,57.8,3362,7.7,79,19,17,28,128.8
295,517,57.1,3352,6.5,89,25,21,28,119.4
235,400,58.8,3350,8.4,92,20,7,34,142.1
259,435,59.5,3348,7.7,74,32,12,22,143.0
247,404,61.1,3328,8.2,71,26,10,25,146.6
230,395,58.2,3295,8.3,67,22,13,28,140.1
