Comp,Att,Pct,Yds,Avg,Lng,TD,Int,Sck,Rate
318,489,65.0,4904,10.0,86,37,9,24,170.6
285,404,70.5,4627,11.5,84,43,6,26,198.9
299,474,63.1,4257,9.0,89,38,9,21,161.2
368,560,65.7,4177,7.5,93,26,8,44,140.8
303,480,63.1,4143,8.6,56,26,13,29,148.1
324,511,63.4,4052,7.9,77,31,15,39,144.2
265,395,67.1,4037,10.2,80,37,9,11,179.3
348,566,61.5,4016,7.1,81,27,18,29,130.5
305,487,62.6,3967,8.1,73,37,16,31,149.6
242,419,57.8,3964,9.5,79,44,13,11,165.7
328,493,66.5,3963,8.0,77,33,10,27,152.1
264,411,64.2,3882,9.4,89,28,8,22,162.2
284,459,61.9,3799,8.3,76,29,10,13,147.9
283,452,62.6,3756,8.3,65,26,10,26,147.0
254,430,59.1,3660,8.5,78,27,10,29,146.6
357,534,66.9,3593,6.7,61,30,13,39,137.0
284,427,66.5,3570,8.4,85,28,10,27,153.7
276,472,58.5,3569,7.6,86,33,12,21,140.0
312,479,65.1,3518,7.3,79,17,6,12,136.0
250,388,64.4,3490,9.0,76,34,12,14,162.7
283,443,63.9,3290,7.4,59,17,7,15,135.8
260,410,63.4,3270,8.0,70,20,8,40,142.6
249,446,55.8,3237,7.3,77,27,17,23,129.2
298,509,58.5,3207,6.3,81,25,9,31,124.1
239,374,63.9,3192,8.5,52,29,6,15,158.0
246,370,66.5,3158,8.5,75,18,6,35,151.0
269,400,67.3,3152,7.9,93,23,8,17,148.4
259,403,64.3,3146,7.8,71,14,7,21,137.8
246,428,57.5,3143,7.3,80,23,16,17,129.4
224,415,54.0,3120,7.5,78,26,14,27,131.1
266,443,60.0,3115,7.0,76,25,14,11,131.4
240,371,64.7,3053,8.2,84,35,9,19,160.1
272,461,59.0,3039,6.6,75,18,12,34,122.1
236,396,59.6,2991,7.6,70,20,9,22,135.2
228,377,60.5,2975,7.9,79,18,9,35,137.7
229,409,56.0,2974,7.3,87,16,5,25,127.5
223,353,63.2,2924,8.3,69,22,4,38,151.1
188,354,53.1,2911,8.2,95,25,6,17,142.1
245,409,59.9,2890,7.1,74,19,15,16,127.3
218,348,62.6,2877,8.3,87,16,6,20,143.8
318,489,65.0,4904,10.0,86,37,9,24,170.6
285,404,70.5,4627,11.5,84,43,6,26,198.9
299,474,63.1,4257,9.0,89,38,9,21,161.2
368,560,65.7,4177,7.5,93,26,8,44,140.8
303,480,63.1,4143,8.6,56,26,13,29,148.1
324,511,63.4,4052,7.9,77,31,15,39,144.2
265,395,67.1,4037,10.2,80,37,9,11,179.3
348,566,61.5,4016,7.1,81,27,18,29,130.5
305,487,62.6,3967,8.1,73,37,16,31,149.6
242,419,57.8,3964,9.5,79,44,13,11,165.7
328,493,66.5,3963,8.0,77,33,10,27,152.1
264,411,64.2,3882,9.4,89,28,8,22,162.2
284,459,61.9,3799,8.3,76,29,10,13,147.9
283,452,62.6,3756,8.3,65,26,10,26,147.0
254,430,59.1,3660,8.5,78,27,10,29,146.6
357,534,66.9,3593,6.7,61,30,13,39,137.0
284,427,66.5,3570,8.4,85,28,10,27,153.7
276,472,58.5,3569,7.6,86,33,12,21,140.0
312,479,65.1,3518,7.3,79,17,6,12,136.0
250,388,64.4,3490,9.0,76,34,12,14,162.7
283,443,63.9,3290,7.4,59,17,7,15,135.8
260,410,63.4,3270,8.0,70,20,8,40,142.6
249,446,55.8,3237,7.3,77,27,17,23,129.2
298,509,58.5,3207,6.3,81,25,9,31,124.1
239,374,63.9,3192,8.5,52,29,6,15,158.0
246,370,66.5,3158,8.5,75,18,6,35,151.0
269,400,67.3,3152,7.9,93,23,8,17,148.4
259,403,64.3,3146,7.8,71,14,7,21,137.8
246,428,57.5,3143,7.3,80,23,16,17,129.4
224,415,54.0,3120,7.5,78,26,14,27,131.1
266,443,60.0,3115,7.0,76,25,14,11,131.4
240,371,64.7,3053,8.2,84,35,9,19,160.1
272,461,59.0,3039,6.6,75,18,12,34,122.1
236,396,59.6,2991,7.6,70,20,9,22,135.2
228,377,60.5,2975,7.9,79,18,9,35,137.7
229,409,56.0,2974,7.3,87,16,5,25,127.5
223,353,63.2,2924,8.3,69,22,4,38,151.1
188,354,53.1,2911,8.2,95,25,6,17,142.1
245,409,59.9,2890,7.1,74,19,15,16,127.3
218,348,62.6,2877,8.3,87,16,6,20,143.8
